CarID,ModelID,DealerID,Year_of_Manufacturing,Mileage,Price
C44234,M032,D039,1994,225404,951
C31920,M055,D037,1994,172758,1743
C07135,M024,D023,1998,55213,9751
C33705,M028,D031,2006,43125,7227
C29661,M056,D025,2011,106875,24190
C17894,M057,D037,2013,31415,15346
C22019,M015,D009,2012,68319,28928
C13539,M015,D015,2001,105667,10681
C43119,M029,D008,2002,129607,7167
C36421,M005,D021,2008,97983,10215
C09406,M058,D046,1999,157206,3233
C13414,M059,D019,2000,125944,7433
C06721,M028,D036,1999,148127,2131
C15602,M060,D043,1999,160246,3538
C44744,M023,D023,1987,275816,581
C31139,M058,D016,1996,183463,2119
C02730,M016,D007,2017,25793,35593
C38243,M022,D022,2017,53467,15462
C29626,M061,D040,2009,64083,10542
C47895,M017,D019,1998,112238,5959
C42091,M062,D032,2020,11852,129795
C36400,M063,D033,1987,217598,1076
C06245,M064,D041,2017,20443,30816
C05546,M063,D033,2005,80643,10823
C04065,M037,D046,2010,73959,15765
C12852,M027,D041,1996,173917,1582
C21803,M065,D009,1996,178921,1874
C41164,M066,D036,2001,202260,1959
C06233,M065,D021,2017,18602,24082
C03863,M007,D018,2018,30228,25193
C35095,M067,D038,2007,130722,10962
C40196,M028,D007,1986,81971,1479
C39251,M068,D030,2008,121191,9696
C06218,M017,D048,2014,58023,25305
C36776,M031,D021,1991,161237,2596
C42977,M035,D009,2005,142054,7171
C48468,M069,D044,2016,37881,83835
C14832,M020,D010,2014,72966,11781
C30093,M022,D037,2007,73777,6951
C08894,M034,D013,2010,144461,6589
C06021,M070,D038,1989,175325,2665
C46089,M040,D035,2017,36239,33452
C15243,M044,D036,2022,4158,30891
C45308,M040,D026,1994,236713,1507
C26551,M022,D038,2017,34134,17390
C06035,M040,D041,2008,51775,16703
C07906,M006,D003,2004,98202,10605
C32226,M040,D040,1994,189351,2301
C06018,M016,D034,1998,127333,5031
C21880,M068,D042,1996,126177,4191
C02792,M012,D023,2017,12095,23949
C42606,M071,D021,2015,60812,21317
C05824,M018,D031,2016,52416,26904
C15388,M044,D025,2022,7038,30437
C29562,M003,D047,2011,58571,17478
C39476,M072,D028,2013,74213,14367
C00293,M073,D009,2018,19640,26712
C16958,M006,D046,2018,33831,41196
C30861,M030,D036,1996,142734,3128
C14074,M045,D017,2004,79991,32129
C21857,M011,D041,2018,49672,33040
C22080,M034,D035,1992,196819,1274
C17024,M010,D002,2003,182211,2865
C08740,M015,D038,2008,141946,12859
C15826,M065,D049,2014,69442,14476
C02742,M044,D041,2008,74758,7972
C18049,M013,D046,2013,101842,14026
C49937,M022,D048,2013,35476,13215
C17373,M022,D050,1994,124978,2011
C22022,M005,D024,1999,96637,5661
C46365,M050,D029,2017,38503,25435
C23538,M025,D006,2021,9759,40708
C45500,M007,D013,1992,67940,3523
C40186,M026,D007,1993,198469,2654
C09614,M073,D003,1995,187606,1697
C43282,M050,D022,1996,167567,2442
C37892,M026,D002,1993,188413,2898
C26179,M045,D045,2016,47004,88701
C45893,M013,D005,2006,117306,7833
C20934,M005,D019,2009,80253,12382
C40972,M072,D010,2003,124007,5132
C22225,M020,D019,2012,50525,11929
C24382,M013,D045,2001,93091,6715
C34856,M024,D015,1984,208219,1163
C48578,M059,D017,2011,73275,22722
C38537,M019,D039,2014,82905,19491
C31756,M027,D024,2002,83147,4793
C07754,M074,D042,2001,167358,13263
C46639,M075,D014,1995,119816,5318
C43835,M023,D002,1994,81909,4757
C26236,M022,D004,2014,63762,11849
C44230,M033,D034,2019,18694,49389
C49597,M022,D043,1999,144318,2408
C18553,M069,D020,2006,88042,31040
C43137,M022,D038,2018,28266,19229
C36673,M013,D044,1985,82024,2499
C43650,M013,D007,1995,272193,982
C03941,M004,D044,2019,14052,25745
C31497,M076,D042,1988,340977,307
C26594,M044,D007,2004,147486,3538
C23922,M077,D002,1998,113118,10188
C26403,M078,D016,2003,53093,11500
C45943,M023,D036,2017,42857,28423
C48526,M010,D041,2003,75862,6565
C18316,M044,D026,2015,27169,17111
C36894,M079,D029,2016,60397,29491
C26696,M078,D031,2010,58982,17664
C42128,M001,D023,2006,113876,14640
C14171,M013,D017,1991,79785,3786
C03733,M008,D003,1997,108555,7634
C07882,M016,D018,2002,167049,4757
C06017,M032,D036,1999,229441,1279
C23030,M045,D010,2017,30432,104651
C35474,M019,D021,2004,123689,7409
C49686,M028,D022,1999,132230,2421
C04818,M045,D027,1985,293380,1474
C41694,M017,D041,2011,95665,16022
C12008,M016,D017,1996,173346,3023
C41328,M006,D045,2006,121064,10210
C09507,M033,D045,2009,76295,17785
C44799,M034,D022,2015,50734,18110
C34063,M019,D002,2019,22929,39653
C27475,M080,D018,2014,42892,13294
C31144,M047,D041,2015,56991,26010
C21236,M016,D031,2010,43037,20178
C01391,M081,D010,2005,100825,25261
C38250,M065,D007,2018,36759,23217
C37625,M005,D001,2011,93722,12867
C42029,M022,D046,2002,117575,3631
C20835,M050,D039,1998,88054,5187
C14758,M017,D003,1990,181130,1999
C26397,M006,D022,2019,18569,48003
C06809,M021,D027,2008,67376,7266
C09226,M082,D026,2007,111454,5088
C48395,M019,D027,2008,81644,13180
C05396,M004,D047,1996,82111,3651
C06944,M016,D041,1991,405205,246
C23871,M014,D037,2003,119664,6006
C32493,M056,D027,1989,210610,2368
C36346,M083,D027,2007,104226,7738
C10756,M008,D005,2019,26249,56988
C12302,M009,D002,2013,34061,18740
C48387,M023,D031,1998,121364,4650
C42746,M060,D035,2012,90101,14503
C29090,M073,D034,1998,186024,2102
C44713,M068,D030,2006,121402,8472
C14344,M019,D031,2012,72485,18320
C38173,M084,D022,2001,49679,9551
C05072,M017,D038,2001,181796,4139
C24122,M072,D024,2007,136695,6064
C48810,M085,D042,2006,111468,5439
C17821,M026,D001,1989,236721,1442
C01123,M017,D035,2001,129028,6396
C11265,M013,D047,1998,182217,2706
C30580,M028,D031,1999,140064,2275
C45465,M086,D009,2012,48681,28520
C48217,M087,D048,1994,247985,2731
C43045,M020,D019,2022,7037,29785
C15657,M020,D019,2003,75361,5567
C01901,M020,D045,1995,145212,1935
C00148,M023,D026,2008,112309,9705
C29643,M021,D023,1992,249354,565
C03212,M028,D041,2017,43992,14968
C43851,M005,D014,2001,156725,4051
C02355,M001,D010,1986,146972,2975
C31521,M088,D048,1989,76337,3193
C42584,M013,D041,2013,63336,18329
C43338,M010,D008,2005,104248,6131
C45285,M023,D002,1994,83413,4708
C46957,M001,D022,1995,237178,2474
C48791,M014,D015,1994,170227,2189
C36586,M013,D027,2007,163118,5799
C10466,M004,D037,1999,172419,2208
C07822,M032,D004,1993,188246,1237
C07206,M009,D022,1990,139489,1932
C06414,M067,D007,2016,41439,37319
C34047,M042,D005,2020,26669,38980
C12729,M067,D029,2018,38748,43334
C06926,M071,D048,2004,99523,7839
C27996,M015,D009,2004,64034,17457
C37613,M070,D004,2007,118475,14039
C39484,M018,D004,2015,38531,27400
C03017,M030,D009,2021,15358,39513
C01641,M065,D031,2012,54872,13928
C08884,M078,D044,2014,64126,22304
C37602,M011,D047,2005,133363,7656
C12970,M089,D046,1997,80407,4745
C23464,M001,D017,1996,146983,5794
C15758,M019,D027,2002,30815,12208
C44077,M003,D030,1991,265377,847
C04087,M024,D040,2000,154408,5365
C00509,M090,D042,2003,110332,6919
C06355,M091,D046,1999,206665,2820
C29645,M092,D034,2022,7734,33693
C20816,M023,D014,2019,18396,37390
C06235,M035,D006,2014,55925,24425
C31990,M026,D005,1993,284074,1212
C12996,M008,D045,2012,94859,22947
C42502,M053,D020,1994,188217,2465
C38921,M008,D044,2001,118776,9225
C00263,M005,D028,1998,155019,3364
C07892,M086,D005,2018,32070,47003
C10528,M093,D048,2010,115505,14362
C18601,M028,D005,1988,165055,890
C24115,M056,D011,1989,135971,4459
C33499,M013,D018,2006,113495,8063
C13472,M094,D001,2014,62790,18825
C31726,M013,D043,1996,189148,2230
C23691,M022,D002,1986,365876,133
C10558,M004,D019,1992,162560,1505
C06557,M045,D027,2004,108523,26167
C45578,M009,D035,2003,162124,3820
C41504,M028,D034,1995,129462,1895
C27873,M006,D003,2003,93555,10260
C10811,M009,D005,2013,63371,15629
C38215,M024,D017,1989,232180,1308
C11731,M043,D049,2000,179719,10587
C27439,M021,D032,2020,12687,22430
C21780,M028,D037,1990,147840,1172
C34080,M010,D049,1990,156444,1497
C22916,M072,D049,2018,28435,26693
C08086,M001,D002,1989,140141,3839
C43468,M046,D030,1990,213005,1208
C14710,M014,D006,2010,68124,13866
C15467,M073,D024,1988,162364,1320
C37173,M018,D020,2003,171640,4632
C28749,M020,D011,2000,129692,3057
C03105,M025,D034,1996,149828,2953
C00709,M004,D002,2008,97903,7263
C38386,M054,D023,1996,174875,3314
C23445,M006,D021,2018,10981,46774
C26511,M011,D047,1985,210711,1049
C08467,M095,D044,1986,265848,921
C06231,M022,D013,2001,109746,3604
C46359,M015,D015,1997,245914,2498
C39358,M041,D020,1996,161401,2030
C16387,M033,D014,1995,132552,4616
C34166,M040,D030,2018,50072,32882
C04169,M027,D041,1989,267147,429
C05804,M010,D005,1992,183644,1359
C12754,M005,D028,2004,121533,6558
C02190,M041,D043,2013,42338,15033
C12188,M054,D015,1995,135562,4288
C31728,M017,D021,1999,86553,7682
C19246,M054,D017,1994,119436,4550
C37867,M093,D043,2004,107377,10234
C43515,M050,D032,2015,34694,22766
C08719,M034,D028,1992,184102,1424
C28825,M042,D030,1996,155069,3175
C24469,M096,D030,2007,63479,13991
C48253,M083,D030,2000,168131,2920
C07202,M001,D006,1997,176599,4837
C09283,M008,D041,1995,165811,4234
C26821,M009,D046,1995,122551,3082
C27374,M054,D010,2002,257621,2358
C22493,M063,D027,2007,71840,13132
C45638,M044,D036,1994,190355,1265
C45880,M028,D004,2002,159285,2375
C29340,M045,D037,2004,77111,32771
C46548,M027,D028,2022,7792,28808
C10804,M015,D013,1992,201122,2682
C20965,M005,D020,2018,17254,33314
C30033,M047,D006,2017,42994,32425
C05223,M015,D017,2014,74986,31606
C00660,M010,D034,1986,183150,914
C33246,M052,D044,2013,56260,29440
C05866,M050,D011,1993,235742,1096
C48872,M007,D031,1989,264888,566
C22986,M019,D017,2002,157182,4956
C28881,M006,D042,2003,173674,5451
C47088,M072,D050,2014,58646,17019
C26528,M035,D021,2014,53958,24731
C09648,M043,D038,2020,13861,131460
C49546,M013,D011,2007,63118,12304
C32375,M068,D007,1993,241624,1274
C26159,M053,D033,2006,65735,14176
C11712,M013,D046,1999,226768,1950
C27239,M059,D038,2000,151738,6047
C18354,M021,D023,2003,97474,4224
C49515,M015,D016,2017,28033,51782
C21725,M040,D027,2008,123366,10090
C25925,M027,D041,1986,258871,379
C41390,M051,D044,1990,95291,2843
C04773,M015,D020,2005,104776,14037
C35205,M013,D010,2015,69165,20153
C27879,M033,D022,2005,108846,10790
C05875,M021,D048,2007,56551,7293
C17805,M018,D021,1995,50929,6696
C34224,M025,D033,2001,118235,5293
C07842,M021,D045,2006,74979,6043
C15923,M010,D048,2001,102489,4757
C28367,M028,D025,2019,23448,19281
C12084,M045,D031,1999,91463,21240
C20034,M003,D045,1996,215284,1871
C14488,M054,D039,1991,255843,1151
C20819,M042,D034,1984,193656,1027
C37518,M058,D030,2013,97099,13135
C44236,M054,D048,2007,97510,12751
C48651,M015,D016,2007,125850,13666
C36236,M003,D045,1987,125294,2192
C21070,M058,D044,2008,87849,10056
C09524,M056,D029,2010,62223,30919
C32756,M007,D039,1994,160270,2005
C12054,M006,D045,1998,97323,7154
C23594,M020,D030,1996,128710,2360
C08038,M090,D017,2007,144662,6909
C46977,M016,D028,1991,267617,929
C16400,M021,D036,1987,197486,646
C45786,M093,D048,2014,38871,31623
C34616,M054,D034,1992,121296,3925
C07625,M087,D002,1996,166569,6422
C13662,M011,D010,2008,133616,9332
C37737,M027,D049,2014,45594,13644
C26542,M023,D030,2005,140092,6399
C13268,M060,D015,2004,152796,5252
C18083,M022,D029,1997,129828,2366
C48086,M005,D031,2009,65509,13677
C42768,M052,D015,2003,112730,10189
C04071,M044,D003,1993,217948,927
C16287,M001,D010,1998,110835,8787
C01119,M022,D010,2021,19592,24655
C10075,M032,D003,2019,15792,24419
C11374,M072,D004,1995,247986,1036
C32685,M068,D048,1996,144298,3629
C46434,M065,D020,2008,96894,8015
C25350,M007,D042,2022,1197,38466
C06716,M045,D035,2012,53898,65080
C34568,M067,D014,2019,23063,50707
C01031,M086,D019,1992,139701,3916
C22754,M027,D015,2013,73125,10690
C11762,M028,D024,1995,83569,2665
C35897,M065,D036,2012,37727,15474
C14493,M011,D015,2000,189246,3445
C25086,M051,D022,1990,217343,1043
C20396,M068,D045,2009,98170,12316
C04814,M044,D046,2012,70468,10714
C08995,M013,D016,2007,80169,10972
C49692,M014,D035,1993,168071,2086
C21375,M013,D019,2015,34309,25070
C30243,M003,D020,2011,83905,14746
C47579,M006,D009,2003,86064,10821
C01165,M041,D044,2002,93297,5151
C24811,M072,D016,2019,26122,28910
C21110,M002,D024,2002,174544,4063
C03698,M074,D016,2003,208259,10631
C11439,M006,D040,1997,85441,7285
C04470,M024,D049,1997,174826,3702
C09808,M008,D001,1990,293658,955
C47768,M008,D034,2014,60577,33157
C06749,M002,D022,2012,52294,19821
C49185,M041,D029,2011,82739,10114
C17379,M046,D037,2006,74797,10620
C36885,M044,D011,1998,221021,1259
C13357,M007,D031,2019,19360,28625
C32405,M006,D037,2011,57506,22348
C42455,M040,D028,1990,92041,3838
C46066,M011,D026,2010,60520,18093
C11539,M009,D014,2007,67335,10207
C02009,M006,D007,2000,119176,6944
C03222,M018,D020,2012,93986,15566
C44997,M016,D022,2016,49518,28928
C18763,M007,D029,2004,114189,5640
C14166,M008,D050,2015,68540,33639
C40684,M071,D033,2008,115278,9101
C25081,M026,D004,2006,130111,11185
C01823,M043,D010,2018,28558,106073
C44662,M022,D047,2018,44586,17464
C06849,M026,D030,2005,41313,19470
C12636,M050,D042,1997,154855,2902
C37669,M060,D044,2002,119360,5996
C06096,M081,D037,2014,37866,69984
C39249,M004,D038,1985,229045,527
C10578,M006,D014,2004,61730,13638
C31075,M083,D043,1991,310363,438
C29113,M095,D001,2005,83620,15106
C10193,M014,D019,2008,74575,11621
C00315,M004,D031,1997,174912,1892
C11450,M044,D038,1995,256035,748
C30746,M097,D030,2016,42938,27634
C29703,M004,D027,1997,113333,3111
C27659,M028,D030,2016,25841,15575
C23686,M098,D003,2000,87472,4273
C28376,M026,D010,1999,17730,14940
C03086,M026,D042,2011,51067,27360
C49372,M025,D041,2016,48662,23347
C03752,M008,D023,2003,133739,9380
C05049,M074,D029,2009,90179,41323
C29187,M028,D018,2014,57433,11269
C30709,M011,D032,2018,37123,35654
C20147,M052,D033,1990,189943,2278
C32250,M040,D041,1996,164815,3243
C04970,M016,D033,2013,78673,19568
C30526,M013,D037,2014,48492,21533
C18495,M052,D041,2010,85610,19801
C38065,M008,D014,2013,93288,24808
C41837,M024,D024,2001,77524,10280
C32753,M018,D005,1996,176571,2785
C20074,M021,D049,2021,10856,24210
C26274,M060,D024,2014,44977,22342
C13650,M032,D031,1993,195165,1165
C25534,M027,D033,1994,223610,895
C17522,M099,D009,1996,173343,3361
C25481,M071,D043,1995,145684,3012
C48235,M041,D011,2009,95529,8084
C48788,M042,D020,2004,76666,9811
C32390,M012,D028,1996,123168,2839
C05087,M032,D005,1995,124940,2384
C17253,M092,D011,2000,165562,2592
C04040,M066,D037,2014,69295,13297
C18387,M020,D029,2021,22098,25702
C04247,M022,D002,1985,73016,1611
C18628,M023,D031,2005,79076,10101
C00880,M027,D048,2014,71010,11591
C23299,M025,D005,2017,40827,26178
C29753,M061,D030,2014,99295,11527
C30173,M050,D027,2009,17746,16794
C28560,M100,D014,2012,102621,10996
C18864,M083,D022,2004,142549,4709
C43344,M016,D022,1996,152612,3595
C34211,M001,D011,2014,30113,43757
C26084,M035,D011,2015,50931,26944
C01942,M033,D038,2020,22096,51814
C22226,M083,D008,2018,22215,27482
C44692,M004,D044,1995,119627,2595
C43240,M101,D044,1996,144508,4382
C23860,M055,D046,1994,140702,2272
C14159,M003,D040,2002,93213,7577
C33876,M021,D050,1995,141087,1773
C48105,M056,D032,2006,85552,20224
C23450,M016,D018,1997,203860,2479
C06624,M026,D016,1995,228983,2309
C38265,M060,D031,2007,90256,10380
C26242,M040,D047,2016,27520,32915
C47592,M102,D034,1993,88406,6181
C24156,M015,D034,2006,126952,12675
C32059,M015,D024,2013,69511,30678
C09332,M051,D048,1990,115284,2451
C43565,M034,D018,2003,172827,3265
C03494,M052,D020,2015,77844,29164
C04879,M073,D047,2010,122617,7881
C47063,M073,D028,2007,77898,8946
C00999,M064,D039,2019,32159,32955
C37087,M009,D005,1995,268751,865
C36438,M006,D012,2001,59190,11350
C34750,M088,D012,2004,112199,6706
C28617,M043,D037,1992,258950,3049
C37096,M002,D028,2001,99224,6918
C22811,M093,D028,1991,98709,4585
C07143,M046,D025,1993,199248,1667
C21559,M041,D023,2018,17897,24144
C09936,M002,D005,2020,14548,42097
C04789,M013,D045,2020,23828,37150
C30511,M044,D014,1998,166325,2029
C31190,M015,D027,2009,79547,21951
C20084,M008,D036,2020,23521,61858
C10824,M040,D020,1996,270210,1263
C00673,M041,D017,2001,129115,3681
C15595,M028,D007,2009,105196,5802
C43049,M084,D047,1999,220812,2188
C21912,M015,D029,2015,109018,26491
C11869,M040,D033,1995,189428,2458
C34691,M034,D004,2018,31334,24855
C11322,M058,D011,2003,179228,3505
C44212,M030,D027,1989,261975,688
C24615,M018,D001,2001,176631,3885
C12006,M012,D046,2015,63027,15501
C03940,M016,D046,1994,233219,1559
C04614,M037,D026,2004,139750,6483
C36760,M103,D018,2006,112549,13479
C31459,M023,D037,1999,77731,6834
C44953,M010,D024,2018,25222,24468
C04348,M033,D046,1998,125022,5981
C39328,M104,D011,1998,165892,4236
C49923,M069,D007,2011,79247,46062
C22394,M001,D030,1991,170152,3425
C03157,M006,D020,2015,22808,35917
C29918,M022,D040,2007,114887,5172
C37224,M040,D003,2006,103322,10276
C13479,M033,D021,2006,56036,16642
C13872,M021,D024,1991,268546,442
C38556,M010,D039,2011,91752,10016
C25330,M007,D025,2002,113674,4955
C44685,M042,D047,2010,109065,11604
C00986,M004,D012,2010,63891,10499
C37140,M012,D008,1998,147652,2671
C35034,M019,D009,1985,199715,1108
C23731,M053,D014,2019,24930,43276
C07531,M007,D016,1993,322395,428
C44395,M050,D010,1993,167556,1999
C32949,M028,D032,1985,203894,521
C30878,M027,D032,2019,24472,21553
C29931,M095,D043,2005,93608,14074
C23416,M005,D044,2014,86926,16495
C06060,M021,D033,1992,79577,2302
C23680,M023,D019,2005,97947,8838
C15941,M008,D049,1997,221910,2964
C06949,M008,D045,2009,126502,14813
C30096,M006,D029,2018,44805,38584
C41340,M024,D039,2011,57225,22904
C49599,M082,D009,2012,50457,10822
C33184,M040,D003,2002,180731,4227
C16581,M068,D020,2015,65774,23005
C01389,M063,D023,1998,177695,3181
C21351,M016,D011,2015,27812,30796
C49751,M023,D033,2010,107048,11536
C34432,M021,D028,2007,78388,6311
C24455,M064,D023,2018,35761,30188
C40360,M026,D028,2011,62417,25448
C18578,M006,D021,2017,53799,34135
C33452,M034,D005,2017,50005,20787
C47853,M099,D046,2019,20502,46573
C00005,M021,D039,2006,127869,4101
C29183,M006,D033,1991,136219,3335
C08231,M105,D002,2007,50228,28624
C05947,M050,D021,1997,141997,3223
C07823,M002,D010,2018,34771,32888
C19487,M100,D003,2018,21552,27753
C15385,M028,D010,2018,39535,16436
C41100,M020,D020,2003,174553,2585
C18184,M068,D020,2007,114417,9553
C27162,M027,D030,2014,56220,12767
C11646,M030,D024,2008,114711,8670
C24391,M007,D021,2013,60933,14960
C04851,M041,D016,2020,13754,28212
C47436,M015,D030,2006,101169,15409
C42207,M034,D027,2014,79996,13976
C45341,M060,D017,1989,91455,3100
C28170,M053,D034,1992,126368,3598
C03420,M072,D036,1995,34599,5559
C42591,M106,D011,2003,112793,14582
C38735,M047,D033,1992,224329,1490
C36720,M068,D048,2013,95792,16360
C29498,M044,D030,2008,46772,9556
C04363,M016,D001,2007,85225,12534
C04029,M004,D047,1986,160296,1028
C03427,M002,D027,2013,59401,20251
C20269,M005,D042,1992,182519,1788
C20058,M017,D018,2014,44434,27549
C11479,M041,D016,1997,188065,1729
C47945,M011,D015,2022,7717,54814
C29393,M052,D010,2004,104338,11596
C29047,M038,D011,2006,121589,19230
C08565,M046,D046,1991,219341,1220
C39507,M065,D035,1999,152629,2854
C49805,M026,D022,2017,27602,46953
C25450,M011,D015,2006,155609,6836
C34922,M024,D037,2007,106878,12432
C30478,M026,D007,1993,190290,2851
C13520,M061,D001,2011,96687,9618
C34008,M086,D007,1996,234599,2253
C21316,M069,D026,1996,107550,13830
C42425,M014,D016,1988,258315,668
C48901,M020,D022,2011,97821,8103
C47633,M056,D002,1994,168563,4763
C49789,M002,D050,2002,133490,5697
C44232,M068,D049,2008,101263,11264
C10724,M007,D033,2018,15504,27346
C13155,M100,D018,2013,61800,15605
C13763,M065,D032,2013,49522,15397
C42812,M021,D014,1995,107107,2308
C30804,M026,D032,1995,201823,2945
C36261,M013,D040,2005,153616,5491
C21437,M101,D040,1989,173586,2158
C25971,M086,D023,2003,129276,8856
C32204,M019,D028,2001,177817,3897
C07181,M022,D030,1984,184822,631
C41281,M003,D013,1997,141415,3758
C28087,M103,D032,2012,53786,30261
C13702,M008,D049,2016,40786,42866
C01004,M026,D041,2019,28643,53333
C09059,M098,D023,1999,105615,3505
C44235,M047,D011,1990,288943,716
C25675,M017,D013,2000,179224,3959
C45056,M064,D010,1991,248570,932
C35144,M044,D008,2018,32339,20289
C38163,M088,D049,2009,94899,10634
C22477,M044,D013,1990,165255,1201
C23007,M027,D024,1997,111198,2802
C45344,M011,D020,2018,45778,33843
C36128,M011,D038,2002,95469,8354
C49710,M019,D041,1987,183144,1463
C13099,M013,D005,1991,150537,2214
C37196,M006,D027,2001,224350,3056
C04108,M060,D031,1991,134527,2558
C41336,M028,D049,2000,193003,1559
C25223,M103,D045,1990,154631,3325
C35840,M050,D026,1998,173658,2650
C29719,M007,D030,2008,94773,8501
C46953,M032,D029,2013,65824,12123
C29828,M006,D031,2005,118708,9726
C17543,M017,D044,1992,211198,1755
C24916,M093,D022,1993,181808,2695
C04514,M034,D006,2002,141419,3961
C19937,M001,D047,2010,49713,29805
C46525,M027,D028,2006,95093,5750
C24511,M006,D039,1999,153094,4960
C27442,M093,D019,2016,55461,32625
C12002,M019,D009,1993,163731,2575
C23354,M028,D029,2017,49108,14505
C27293,M070,D002,2014,57103,34509
C34204,M069,D047,2003,120118,20053
C12148,M025,D002,1998,56666,6686
C15292,M072,D015,2009,98580,9271
C46880,M005,D021,2013,44255,20431
C08691,M007,D040,1997,91884,4169
C12654,M044,D047,2002,80096,5152
C31470,M011,D032,2001,162188,4638
C02955,M007,D006,2006,73586,8627
C03004,M018,D048,2010,47792,18561
C15814,M007,D020,2018,37954,24081
C06657,M098,D023,2018,25239,21080
C12774,M026,D032,2018,22607,51620
C39531,M008,D021,1990,81656,5812
C34408,M058,D004,2001,110600,5342
C08837,M017,D047,2011,98314,15717
C14618,M022,D045,1990,155763,1203
